Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00175895322819281,-0.000186490435764575,0.115995062248732,0,0,0,40.5192970572116,0.418864833638296,0.00162028052461188,0.0429721576576123,2.27038164283973,0.000430380682244321,2.46685025651348,0,0,0,0,0,0,package://dazuoye/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dazuoye/meshes/base_link.STL,,Super AV-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1,-1.0644818360106E-12,0.0286730516007033,1.08304476498233E-11,0,0,0,0.714580930694788,0.00108598655804473,-4.550163687934E-14,-4.83965814925678E-14,0.00187252944910504,-2.81421321092362E-13,0.00108598655845284,0,0,0,0,0,0,package://dazuoye/meshes/wheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dazuoye/meshes/wheel1.STL,,Wheel-10,Origin_joint1,Axis_joint1,basewheel1,continuous,0.26854,0.11527,0.01392,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel2,-7.93010102029257E-12,0.0286730516007033,7.45292716430868E-12,0,0,0,0.714580930694793,0.00108598655826948,1.50964292814581E-13,-2.086997151376E-13,0.00187252944910505,-2.41823347156276E-13,0.0010859865582281,0,0,0,0,0,0,package://dazuoye/meshes/wheel2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dazuoye/meshes/wheel2.STL,,Wheel-9,Origin_joint2,Axis_joint2,basewheel2,continuous,0.082902,0.11527,0.01392,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel3,-7.58587637150754E-12,0.0286730516007032,7.80336906203161E-12,0,0,0,0.71458093069479,0.0010859865582506,1.39909924700248E-13,-2.09710418176823E-13,0.00187252944910504,-2.48381640199769E-13,0.00108598655824698,0,0,0,0,0,0,package://dazuoye/meshes/wheel3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dazuoye/meshes/wheel3.STL,,Wheel-11,Origin_joint3,Axis_joint3,basewheel3,continuous,-0.0914568223831851,0.115269623915386,0.0139204893834225,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel4,-9.15922893085508E-12,0.0286730516007033,-5.87768722581927E-12,0,0,0,0.714580930694786,0.00108598655832907,2.71289140693276E-13,1.93745890179042E-13,0.00187252944910504,8.75733639285554E-14,0.0010859865581685,0,0,0,0,0,0,package://dazuoye/meshes/wheel4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dazuoye/meshes/wheel4.STL,,Wheel-12,Origin_joint4,Axis_joint4,basewheel4,continuous,-0.277097503920895,0.115269623915386,0.0139204893834225,0,0,0,base_link,0,1,0,,,,,,,,,,,,
rotor1,4.92247885341968E-07,8.92687138320802E-07,-0.0238299573571413,0,0,0,0.00242869019068173,2.38168822449135E-07,-1.03335169620103E-11,3.41439680017416E-11,2.38156779310724E-07,5.83744762677936E-11,1.69923583745475E-07,0,0,0,0,0,0,package://dazuoye/meshes/rotor1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dazuoye/meshes/rotor1.STL,,Rotor-2,Origin_joint5,Axis_joint5,baserotor1,continuous,-0.36115,0.098652,0.086928,-1.5708,1.4381,-1.5708,base_link,0,0,1,,,,,,,,,,,,
rotor2,9.1956E-09,-8.043E-09,0.015719,0,0,0,0.0024284,2.3804E-07,-2.8435E-13,8.9446E-13,2.3803E-07,3.4364E-12,1.699E-07,0,0,0,0,0,0,package://dazuoye/meshes/rotor2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dazuoye/meshes/rotor2.STL,,Rotor-1,Origin_joint6,Axis_joint6,baserotor2,continuous,-0.36141,-0.098469,0.086928,1.5708,0.49836,-1.5708,base_link,0,0,1,,,,,,,,,,,,
wheel5,1.0233E-11,0.032043,-3.7053E-12,0,0,0,0.71458,0.001086,2.8394E-13,-1.4014E-13,0.0018725,-2.5388E-14,0.001086,0,0,0,0,0,0,package://dazuoye/meshes/wheel5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dazuoye/meshes/wheel5.STL,,Wheel-13,Origin_joint7,Axis_joint7,basewheel5,continuous,0.26854,-0.1758,0.01392,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
wheel6,1.0232E-11,0.032043,-3.7053E-12,0,0,0,0.71458,0.001086,2.8394E-13,-1.4014E-13,0.0018725,-2.5387E-14,0.001086,0,0,0,0,0,0,package://dazuoye/meshes/wheel6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dazuoye/meshes/wheel6.STL,,Wheel-14,Origin_joint8,Axis_joint8,basewheel6,continuous,0.082902,-0.1758,0.01392,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
wheel7,1.0268E-11,0.032043,-3.6058E-12,0,0,0,0.71458,0.001086,2.8417E-13,-1.3708E-13,0.0018725,-2.2628E-14,0.001086,0,0,0,0,0,0,package://dazuoye/meshes/wheel7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dazuoye/meshes/wheel7.STL,,Wheel-15,Origin_joint9,Axis_joint9,basewheel7,continuous,-0.091457,-0.1758,0.01392,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
wheel8,1.0171E-11,0.032043,3.873E-12,0,0,0,0.71458,0.001086,2.3167E-13,1.3361E-13,0.0018725,1.6612E-13,0.001086,0,0,0,0,0,0,package://dazuoye/meshes/wheel8.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dazuoye/meshes/wheel8.STL,,Wheel-16,Origin_joint10,Axis_joint10,basewheel8,continuous,-0.2771,-0.1758,0.01392,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
